Topic ID,Aspect,Keywords
0,person,"dont, hate, sick, pain, wait, doctor, seriously, ready, good, bore, work, headache, story, most, long, just, feel, suck, hurt, sleep, hope, pack, refresh, bed, like"
1,other_aspects,"rain, weather, today, wait, week, doctor, seriously, ready, good, bore, morning, fun, work, story, night, most, happy, nice, great, long, day, just, hope, pack, sun, refresh"
2,subject,"business, city, year, canada, oil, wait, doctor, seriously, ready, bore, government, money, state, story, tax, people, will, most, long, just, job, pack, refresh, more, cost, pay"
3,subject,"rain, school, today, wait, doctor, seriously, ready, good, amp, morning, bore, work, coffee, time, story, most, long, just, tomorrow, feel, pack, refresh, hour, like"
4,sentiment,"wait, doctor, good, seriously, ready, friend, bore, excite, yay, love, story, pic, thanks, most, happy, long, just, tomorrow, pack, birthday, tweet, quot, refresh, watch"
5,recency,"article, thing, fact, any, wait, comment, doctor, seriously, ready, bore, catholic, point, god, story, jesus, church, people, will, most, long, just, pack, refresh, write, post, read"
6,confirm,"eat, smell, smile, wait, doctor, hug, seriously, ready, good, amp, bore, love, story, dinner, thanks, most, yeah, long, dog, just, food, pack, quot, refresh, like"
7,comparative,"vote, country, hillary, wait, doctor, seriously, ready, party, bore, medium, president, story, will, people, most, election, long, liberal, just, war, pack, refresh, more, trump, news, like"
8,sympathetic,"bad, wait, doctor, seriously, ready, good, bore, lonely, girl, phone, wish, yay, love, story, night, sorry, most, long, just, guy, luck, pack, refresh, new, fuck"
9,judgment,"aint, cool, wait, doctor, seriously, ready, good, bore, follow, love, story, thanks, sorry, most, think, yeah, long, bit, just, hope, pack, refresh, thank, watch, like"
10,subject,"today, wait, doctor, seriously, ready, good, bore, song, work, listen, love, story, night, most, happy, long, cry, just, sleep, pack, quot, refresh, bed, tire"
11,stereotype,"woman, crime, year, any, wait, doctor, seriously, ready, bore, state, story, gun, people, will, most, criminal, long, court, just, police, pack, refresh, trump, law, like"
12,perception,"light, red, car, today, wait, doctor, seriously, ready, good, drive, bore, phone, story, like, gun, most, yeah, long, hit, just, pack, refresh, sad, down, pink"
13,prefer,"win, wait, season, doctor, seriously, ready, bore, time, listen, love, story, most, great, long, team, just, pack, quot, play, refresh, watch, game, fan, sad, like"
14,edit,"article, block, edit, wait, comment, doctor, seriously, ready, bore, story, image, thanks, link, most, long, just, talk, add, user, source, pack, remove, refresh, post, delete, account"
